BaeAcen,BaeBae,BaeHet,BaePla,BaetBaet,CaeCae,EphlSer,EphEphor,HepEpe,HepHep,HepLeu,HepMac,HepRhi,HepStena,HepSteno,IsoIso,LeptTri,CoeArg,GomAri,GomGom,PleTSTI,ChlSuw,CapLeuc,PerAcr,PerAgn,PerPar,PerPer,CoryCor,BraBra,GloPro,THydChe,THydHyd,THydMac,HydtAgr,HydtHyd,HydtLeu,LepidLep,LepCer,LepOec,PhiChi,PsyPsy,CraPet,ColeUnk,ElmMac,ElmOpt,ElmOul,ElmPro,ElmSte,PsePse,ChiChi,Chitend,ChiPara,ChiPoly,Chisect,ChiRheo,ChiDia,ChiPott,ChiCard,ChiChae,ChiCric,ChiNano,ChiOrtho,ChiThien,ChiTvet,ChiProd,TanThien,EmpHem,TanPro,TipAnt,GamGam,CamOrc,Hydrac,AncFer,PlePleur,PlaGyr,CorCor,Sphaer,UniLamp,Oligoc,Nemato,Nemert,Tricla
5,0,3,33,0,0,1,0,0,0,1,28,1,0,0,42,9,0,0,0,2,0,0,0,0,0,0,1,72,10,46,48,0,1,0,0,0,0,0,5,1,6,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,10,0,24,0,0,1,1,0,0,0,0,7,1,0,1,2,0,0,0,3,0
6,6,7,11,0,0,0,0,0,0,2,22,0,1,1,20,3,0,0,0,4,0,0,0,0,0,0,0,23,19,11,13,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,2,0,1,2,0,0
0,3,1,5,0,0,1,0,0,0,3,26,0,2,2,9,5,0,0,0,1,0,0,0,0,0,0,0,9,15,35,8,0,0,0,0,0,2,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,8,1,0,14,0,0,0,0,0,0
1,7,2,12,0,0,0,1,0,0,1,30,0,2,1,25,10,0,0,0,8,0,0,0,0,0,0,0,31,29,36,44,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,10,0,0,2,0,0,0,0,0,0
0,0,0,18,0,0,0,0,0,0,3,23,0,0,5,4,20,0,0,0,0,1,0,0,0,0,0,0,21,14,45,15,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0
2,4,0,10,0,0,1,0,0,0,2,18,0,3,1,24,11,0,0,0,1,0,0,0,0,0,0,0,16,20,23,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,14,1,0,0,0,0
0,3,1,42,0,0,0,0,0,0,9,48,2,2,3,8,40,0,0,0,2,0,0,0,0,0,0,0,22,63,57,30,0,1,0,1,0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,7,0,34,0,0,7,0,0,0,0,0,20,0,0,0,0,2,2,0,1,27,0,2,4,0,0,0,0,0,2
0,4,0,3,0,0,1,0,0,1,2,23,0,2,1,15,9,0,0,0,3,0,0,0,0,0,0,0,21,28,37,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,0,0
3,2,3,4,0,0,1,0,0,0,3,38,0,0,3,21,6,0,0,0,2,0,0,0,0,0,0,0,30,27,44,47,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1
10,10,34,6,0,0,1,0,0,0,2,22,5,0,0,24,1,0,0,0,6,0,0,3,0,0,0,1,183,5,16,71,7,0,0,0,0,1,0,28,0,0,0,0,4,0,0,12,1,0,0,0,0,0,3,0,0,3,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6,15,8,23,0,0,0,0,1,0,4,31,4,0,0,43,2,0,0,0,16,1,0,2,1,0,0,0,116,8,42,68,6,0,0,0,0,0,0,28,0,1,0,0,10,0,0,7,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,2,0,0,11,3,0,0,1,0,4
8,23,15,12,0,0,0,0,0,0,2,24,0,0,0,10,1,0,0,0,16,0,0,0,0,0,0,0,487,35,23,38,1,0,0,0,0,0,0,8,0,0,0,0,4,0,0,2,0,0,0,0,0,0,52,0,0,9,0,0,0,17,0,9,0,0,3,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0
19,1,23,3,0,0,1,0,0,0,0,15,1,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,132,1,9,75,1,0,0,0,0,0,0,12,0,5,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,20,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,65,13,74,0,0,4,0,0,0,14,97,8,0,0,106,2,0,0,0,28,1,0,1,0,0,0,0,282,27,76,77,6,0,0,0,1,0,0,47,5,11,0,0,11,0,0,18,0,0,0,0,0,0,98,0,0,0,0,0,0,32,0,32,0,0,3,0,1,0,0,12,7,0,0,9,4,0,3,8,3,10
6,11,22,6,0,0,0,0,0,0,1,10,1,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,238,1,4,22,2,0,0,0,0,0,0,2,0,1,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
18,2,30,12,0,0,0,0,0,1,1,5,1,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,167,0,5,29,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,16,22,10,0,0,2,0,0,0,0,25,6,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,65,2,9,27,0,0,1,0,0,0,0,11,0,0,0,0,1,0,1,5,0,0,0,0,0,0,4,0,0,7,0,0,0,20,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,19,4,15,0,0,0,0,0,0,2,12,5,0,0,5,0,0,0,0,5,0,0,1,0,0,0,0,402,6,12,34,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,0,0,0,0,0,0,1,13,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,107,6,32,11,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,5,34,12,0,0,0,0,0,0,2,22,0,0,0,17,0,0,0,0,28,0,0,1,0,0,0,1,1064,7,21,61,1,0,0,0,0,3,0,5,0,2,0,0,3,0,0,6,2,0,0,0,0,0,26,0,0,0,0,0,0,26,0,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
4,9,34,10,0,0,0,0,0,0,0,21,0,0,1,18,1,0,0,0,10,0,0,0,0,0,0,0,553,3,20,29,0,0,0,0,0,3,0,10,0,1,0,0,2,0,1,3,0,0,0,0,0,0,48,0,0,32,0,0,0,47,0,32,0,0,0,0,6,0,0,1,3,0,0,0,0,0,3,0,0,0
8,4,19,5,0,0,1,0,0,0,3,19,2,0,0,20,0,0,0,0,6,0,0,0,0,0,0,0,133,2,8,18,0,0,0,0,0,0,0,4,1,1,0,0,2,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,4,8,37,0,0,0,0,0,0,2,17,0,0,0,18,5,0,0,0,8,0,0,0,0,0,0,0,212,4,10,15,0,1,0,0,0,0,0,7,0,5,0,0,1,0,0,2,0,0,0,0,0,0,200,0,0,0,0,0,0,28,0,57,0,0,0,0,0,0,0,6,27,0,0,4,0,0,6,1,0,0
3,9,7,66,0,0,0,0,0,0,0,23,0,0,1,16,2,0,0,0,6,0,0,0,0,0,0,0,399,1,30,24,1,0,1,0,0,2,0,3,3,5,0,0,5,0,1,1,0,0,0,0,0,0,253,0,0,0,0,0,0,85,0,42,0,0,0,0,3,0,0,6,20,0,0,2,0,0,40,2,0,1
4,1,11,11,0,0,0,0,0,0,4,24,0,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,41,8,34,25,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,3,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,3,18,30,0,0,0,0,0,1,0,29,0,0,0,62,0,0,0,0,5,0,0,0,0,0,0,1,468,2,28,54,2,0,0,0,0,1,0,7,0,4,0,0,2,0,0,9,1,0,0,0,0,0,70,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,12,0,0,2,0,0,1,1,0,1
2,7,10,30,0,0,1,0,0,1,0,32,0,4,1,18,2,0,0,0,6,0,0,0,0,0,0,0,446,1,31,36,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,1,5,0,0,0,35,0,105,0,0,0,0,0,0,69,0,69,0,0,0,0,3,0,0,4,14,0,0,2,0,0,8,1,0,0
25,5,29,21,1,0,0,0,0,6,10,133,1,1,2,172,1,0,0,1,96,0,2,0,0,0,0,0,581,14,72,95,4,0,0,0,0,2,0,57,1,3,0,0,2,0,0,1,0,0,0,0,17,0,85,0,0,0,0,0,0,17,0,51,0,0,4,0,3,0,0,10,42,0,0,12,0,0,3,3,1,4
4,0,0,7,0,0,0,0,0,0,12,45,0,0,3,8,0,0,0,0,2,0,0,0,0,0,0,0,22,6,28,2,0,0,0,0,1,4,0,8,1,1,0,0,2,0,0,1,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,3,1,0,1,2,0,0,0,0,1
1,12,6,5,0,1,0,0,0,0,4,49,0,0,0,78,2,0,0,0,53,0,0,1,0,0,0,0,362,9,46,30,1,0,0,0,0,8,0,27,0,2,0,0,0,0,0,4,0,0,0,0,15,0,61,0,0,0,0,0,15,15,0,47,0,0,1,0,0,0,0,5,37,0,0,20,0,0,4,5,0,5
15,5,18,8,0,0,0,0,0,0,4,46,1,0,2,24,2,0,0,0,27,0,0,0,0,0,0,0,515,6,9,50,0,0,0,0,0,1,0,14,0,8,0,0,2,0,0,3,0,0,0,0,0,0,31,0,0,6,0,0,0,18,0,6,0,0,4,0,2,0,0,8,0,0,0,2,0,0,1,5,0,0
9,8,6,15,0,0,3,0,0,0,20,92,16,0,0,97,7,0,0,0,265,0,0,1,0,0,0,0,398,5,103,64,4,0,0,0,0,0,0,50,0,1,0,0,1,0,0,0,0,0,0,0,19,0,56,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,10,1,1,0,3,1,0,3,1,1,1
5,2,4,3,0,0,0,0,0,0,2,59,8,0,3,45,1,0,0,0,52,0,0,1,0,0,0,0,56,8,21,7,0,0,0,0,0,0,0,11,0,1,0,0,14,0,0,4,0,0,0,0,1,0,4,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0
0,7,2,9,0,1,4,0,0,0,0,38,1,0,1,21,10,0,0,0,23,0,0,1,0,1,0,0,507,0,23,36,0,0,3,0,0,3,1,25,0,6,0,1,3,0,0,5,2,0,0,0,0,18,277,0,0,16,0,2,0,159,0,23,0,0,0,0,2,0,0,10,4,0,0,4,0,0,1,2,0,3
12,23,19,15,0,0,3,1,0,0,16,50,3,4,4,85,0,0,0,0,1,0,0,2,0,0,1,6,608,0,27,113,0,0,0,0,0,9,0,29,0,2,0,0,0,0,0,23,0,0,0,0,0,0,60,0,0,40,0,0,13,13,0,30,0,0,1,0,0,0,0,2,1,0,0,4,0,0,1,0,0,0
12,20,4,18,0,0,2,0,0,0,2,31,4,1,0,12,2,0,0,0,18,0,0,1,0,0,0,2,588,0,19,65,0,0,2,0,0,3,0,37,0,5,0,0,2,1,0,22,0,0,0,0,10,0,107,0,0,59,0,9,12,165,0,53,0,0,2,0,4,0,0,12,3,0,0,7,0,0,3,4,0,4
10,19,6,23,0,0,2,0,0,0,20,52,10,1,1,42,6,0,0,0,9,0,0,6,0,1,0,2,282,0,28,47,0,0,0,0,0,8,0,23,0,5,0,0,4,0,0,70,0,0,0,0,0,0,220,0,0,42,0,0,0,89,0,10,0,3,0,0,0,0,0,5,1,1,0,27,2,0,2,4,0,2
1,7,0,10,0,0,0,1,0,0,2,56,4,3,4,30,0,0,2,0,7,0,0,0,0,0,0,0,132,1,7,10,0,0,0,0,0,1,0,4,2,4,0,0,2,0,0,1,0,0,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,4,5,0,24,0,0,0,1,0,0
0,9,0,15,0,1,1,1,0,0,2,43,0,3,3,6,11,1,0,0,6,0,0,0,0,0,0,0,331,2,28,21,0,0,7,1,0,2,0,1,7,3,0,0,8,0,0,13,2,0,24,0,92,0,314,0,0,27,0,0,0,282,0,0,0,22,6,0,16,0,0,9,2,1,0,42,7,0,4,2,1,3
1,15,0,22,0,1,3,0,0,1,7,30,0,1,2,6,8,0,0,0,5,0,0,1,0,0,0,0,177,2,12,19,1,4,11,0,0,1,1,5,1,4,0,0,0,0,0,3,0,0,0,0,0,0,475,0,0,52,0,0,0,108,8,0,0,0,17,0,5,0,0,7,5,1,0,2,2,0,0,0,0,4
