BaeAcen,BaeBae,BaeHet,BaePla,BaetBaet,CaeCae,EphlSer,EphEphor,HepEpe,HepHep,HepLeu,HepMac,HepRhi,HepStena,HepSteno,IsoIso,LeptTri,CoeArg,GomAri,GomGom,PleTSTI,ChlSuw,CapLeuc,PerAcr,PerAgn,PerPar,PerPer,CoryCor,BraBra,GloPro,THydChe,THydHyd,THydMac,HydtAgr,HydtHyd,HydtLeu,LepidLep,LepCer,LepOec,PhiChi,PsyPsy,CraPet,ColeUnk,ElmMac,ElmOpt,ElmOul,ElmPro,ElmSte,PsePse,ChiChi,Chitend,ChiPara,ChiPoly,Chisect,ChiRheo,ChiDia,ChiPott,ChiCard,ChiChae,ChiCric,ChiNano,ChiOrtho,ChiThien,ChiTvet,ChiProd,TanThien,EmpHem,TanPro,TipAnt,GamGam,CamOrc,Hydrac,AncFer,PlePleur,PlaGyr,CorCor,Sphaer,UniLamp,Oligoc,Nemato,Nemert,Tricla
5,7,5,7,0,0,0,0,0,0,1,15,4,0,0,18,1,0,0,0,4,0,0,0,0,0,0,0,45,0,4,15,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,10,38,0,0,0,0,0,0,0,36,5,0,2,21,12,0,0,0,4,0,0,0,0,0,0,0,57,36,48,33,0,0,0,0,0,4,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,7,0,0,4,6,0,6,1,0,0
5,12,10,18,0,0,0,0,0,0,2,41,2,0,0,84,0,0,0,0,11,0,0,4,0,0,0,0,23,19,60,39,0,0,0,0,0,1,0,15,0,3,0,0,3,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,3,0,0,0,4,0,0,0,1,0,0
3,7,5,40,0,0,0,0,0,0,2,39,5,0,0,15,3,0,0,0,2,0,0,0,0,0,0,0,39,10,45,13,0,0,0,0,1,0,0,7,0,2,0,0,1,0,0,2,0,0,0,0,1,0,25,1,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,4,2,0,1,0,0,3
3,5,21,33,0,0,0,0,0,0,1,18,0,2,0,29,8,0,0,0,6,0,0,0,0,2,0,2,84,12,25,44,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,1
14,20,0,21,0,0,0,0,0,0,3,25,5,1,0,25,4,0,0,0,0,0,0,1,0,0,0,0,19,13,21,23,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,2,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0
11,0,9,20,0,0,3,0,0,0,5,20,0,1,1,12,4,0,0,0,16,0,0,0,0,0,0,1,37,16,27,31,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,13,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1
20,2,15,42,0,0,0,0,0,0,4,24,0,3,1,21,9,0,0,0,12,0,0,0,0,0,0,0,102,12,28,44,0,0,0,0,0,7,0,3,0,1,0,0,1,0,0,2,0,0,0,2,1,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,1
6,13,6,22,0,0,0,0,0,0,1,30,2,0,0,14,9,0,0,0,4,0,0,0,0,1,0,0,41,7,29,22,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
3,2,0,35,0,0,0,0,0,0,3,49,2,5,0,21,5,1,0,0,13,0,0,0,0,0,0,0,40,15,32,29,0,0,0,0,0,3,0,1,0,2,0,0,2,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0
4,3,0,82,0,0,0,0,0,0,1,40,0,0,1,19,8,0,0,0,2,0,0,0,0,0,0,0,51,6,37,22,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,1,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,1,0,0,1,0,0,1
10,5,5,28,0,0,0,0,0,0,0,15,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,21,4,34,44,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0
2,0,0,28,0,0,0,0,0,0,0,8,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,28,9,20,27,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0
7,1,0,32,0,0,0,0,0,0,1,11,2,0,0,4,5,0,0,0,5,0,0,0,0,0,0,0,30,2,12,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
8,4,4,16,0,0,0,0,0,0,1,6,1,0,0,5,4,0,0,0,0,0,0,2,0,0,0,1,7,10,9,20,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
5,2,0,37,0,0,0,0,0,0,0,9,3,0,0,2,4,0,0,0,44,0,0,1,0,0,0,0,19,9,16,9,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,2,0,0,0,1,0,0
0,2,0,58,0,0,1,0,0,0,4,19,1,0,0,3,14,0,0,0,7,0,0,0,0,0,0,0,15,8,28,22,0,0,0,0,0,1,0,1,0,5,0,0,6,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0,5,0,0,0,1,0,3
6,0,8,12,0,0,0,0,0,0,0,9,1,0,0,5,5,0,0,0,2,0,0,0,0,0,0,0,19,21,10,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,2,0,0,0,0,0,0
4,0,1,49,0,0,0,0,0,0,0,27,0,0,0,1,3,0,0,0,5,0,0,0,0,0,0,0,13,14,35,33,0,0,0,0,0,0,0,6,1,2,0,0,1,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,0,0,29,0,0,0,0,1,0,1,11,0,0,1,5,5,0,0,0,1,0,0,1,0,0,0,0,19,7,27,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
4,0,2,10,0,0,0,0,0,0,0,5,2,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,17,11,16,24,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,1
0,0,0,34,0,0,0,0,0,0,1,41,0,0,3,15,10,0,0,0,4,0,0,0,0,0,0,0,2,10,17,16,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,1,0,12,2,0,1,0,0,0
0,0,0,41,0,0,1,0,0,0,1,27,0,2,0,2,8,0,0,1,3,0,0,0,0,0,0,0,2,3,13,12,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,16,0,0,13,4,0,1,2,0,1
11,0,4,46,0,0,1,0,0,0,0,12,1,0,2,10,8,0,0,0,31,0,0,0,0,0,0,0,57,12,25,75,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,2,10,0,0,1,0,0,0,0,0,0
0,0,0,35,0,0,0,0,0,0,0,13,1,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,4,17,17,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,1,0,0,0,0,0,0
0,1,0,59,0,0,0,0,0,1,1,28,1,3,5,4,9,0,0,0,1,0,0,0,0,0,0,0,16,15,18,35,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,6,0,24,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,16,0,0,16,0,0,1,1,0,1
0,0,0,48,0,0,0,0,0,0,4,32,0,0,0,5,49,0,0,0,6,0,0,1,0,0,0,0,4,15,25,12,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,2,0,0,0,5,0,155,0,12,0,0,0,0,7,0,0,0,0,4,0,1,0,0,4,24,1,0,10,1,0,3,0,0,3
2,0,2,107,0,0,0,0,0,0,0,20,0,0,3,9,16,0,0,0,17,0,0,0,0,0,0,0,45,9,35,59,0,0,0,0,0,1,0,4,0,5,0,0,2,0,0,3,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0
7,0,4,37,0,0,1,0,0,0,2,25,0,0,2,16,13,0,0,0,10,0,0,0,0,0,0,0,16,7,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,33,0,1,6,1,0,0,0,0,0
12,0,2,47,0,0,0,0,0,0,4,21,2,0,1,19,29,0,0,0,3,0,0,0,0,0,0,0,2,7,34,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0,4
3,0,1,39,0,0,0,0,0,0,0,12,1,0,0,10,22,0,0,0,8,0,0,0,0,0,0,0,3,4,28,19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,43,0,0,0,1,1,0,1,0,0
2,0,0,32,0,0,0,0,0,0,4,30,0,0,1,9,15,0,0,0,18,0,0,0,0,0,0,0,10,15,55,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,17,0,0,6,2,0,0,0,1,2
7,0,1,50,0,0,0,0,0,0,1,14,0,0,1,6,20,0,0,0,1,0,0,0,0,0,0,0,13,1,22,28,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0
8,0,1,23,0,0,0,0,0,0,1,18,0,0,0,7,11,0,0,0,21,0,0,0,0,0,0,0,21,13,43,55,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,1,0,1,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0
3,0,0,50,0,0,0,0,0,0,5,23,0,0,3,17,12,0,0,0,4,0,0,0,0,0,0,0,3,7,30,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,1,2
9,0,1,36,0,0,1,0,0,0,2,20,0,0,2,22,17,0,0,0,64,0,0,0,0,0,0,0,1,6,33,23,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,25,0,0,1,0,1,1,0,1,0
4,0,0,10,0,0,0,0,0,0,1,5,0,0,1,3,14,0,1,0,37,0,0,0,0,0,0,0,14,16,45,62,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,6,0,2,0,0,0,0,0,1,0,1,46,0,0,1,0,0,0,0,0,0
16,7,6,29,0,0,0,1,0,2,0,11,0,0,2,7,20,0,0,0,3,2,0,0,0,0,0,0,40,8,77,60,0,0,0,0,0,0,0,8,0,9,1,0,0,0,0,0,0,4,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0
12,3,2,18,0,0,0,0,0,0,1,19,0,0,2,14,15,0,0,0,5,0,0,0,0,0,0,0,33,10,53,54,0,0,0,0,0,0,0,4,0,6,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
30,0,1,16,0,0,0,0,0,0,1,12,0,0,1,6,2,0,0,0,3,0,0,1,0,0,0,0,37,10,24,53,0,0,0,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0
1,4,0,32,0,0,0,0,0,0,3,24,0,0,7,7,44,0,0,0,2,0,0,0,0,0,0,0,2,22,43,35,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,1,6,4,0,6,0,0,0,0,0,1
6,0,0,22,0,0,0,0,0,0,7,14,0,2,2,10,12,0,0,0,1,0,0,0,0,0,0,0,5,23,40,18,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,3,0,0,1
14,0,0,23,0,0,0,0,0,0,2,12,0,3,0,15,2,0,0,0,5,0,0,0,0,0,0,0,23,15,25,33,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0,0
3,3,0,50,0,0,0,0,0,0,3,11,0,1,1,6,31,0,0,0,1,0,0,0,0,0,0,0,21,27,23,43,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,5,0,0,0,0,1,0
4,1,2,25,0,0,0,0,0,0,2,9,0,1,1,10,3,0,0,0,3,0,0,0,0,0,0,1,6,5,12,11,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
14,0,0,43,0,0,0,0,0,0,3,28,0,1,1,11,9,0,0,0,8,0,0,0,0,0,0,0,26,5,26,50,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,0,0,1,0,0,0,0,0,0
