ChiChi,Chitend,ChiPara,ChiPoly,Chisect,ChiRheo,ChiDia,ChiPott,ChiCard,ChiChae,ChiCric,ChiNano,ChiOrtho,ChiThien,ChiTvet,ChiProd,TanThien,EmpHem,TanPro,TipAnt
0,0,0,0,0,14,0,0,0,0,0,0,10,0,24,0,0,1,1,0
0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0
0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,0,34,0,0,7,0,0,0,0,0,20,0,0,0,0,2
0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,3,0,0,3,0,1,0,8,0,0,0,0,0,1,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,16,0,0,0,0,0
0,0,0,0,0,52,0,0,9,0,0,0,17,0,9,0,0,3,0,2
0,0,0,2,0,0,0,0,0,2,0,0,20,0,2,0,0,0,0,0
0,0,0,0,0,98,0,0,0,0,0,0,32,0,32,0,0,3,0,1
0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,0,10,0,2,0,0,0,0,0
0,0,0,0,0,4,0,0,7,0,0,0,20,7,4,0,0,0,0,0
0,0,0,0,0,1,0,0,11,0,0,0,1,0,1,0,0,2,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,26,0,0,0,0,0,0,26,0,12,0,0,0,0,1
0,0,0,0,0,48,0,0,32,0,0,0,47,0,32,0,0,0,0,6
0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,200,0,0,0,0,0,0,28,0,57,0,0,0,0,0
0,0,0,0,0,253,0,0,0,0,0,0,85,0,42,0,0,0,0,3
0,0,0,3,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0
0,0,0,0,0,70,0,0,0,0,0,0,0,0,18,0,0,0,0,0
0,0,0,35,0,105,0,0,0,0,0,0,69,0,69,0,0,0,0,3
0,0,0,17,0,85,0,0,0,0,0,0,17,0,51,0,0,4,0,3
0,0,0,0,0,17,0,0,0,0,0,0,0,0,11,0,0,0,0,0
0,0,0,15,0,61,0,0,0,0,0,15,15,0,47,0,0,1,0,0
0,0,0,0,0,31,0,0,6,0,0,0,18,0,6,0,0,4,0,2
0,0,0,19,0,56,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,1,0,4,0,0,2,0,0,0,4,0,1,0,0,0,0,0
0,0,0,0,18,277,0,0,16,0,2,0,159,0,23,0,0,0,0,2
0,0,0,0,0,60,0,0,40,0,0,13,13,0,30,0,0,1,0,0
0,0,0,10,0,107,0,0,59,0,9,12,165,0,53,0,0,2,0,4
0,0,0,0,0,220,0,0,42,0,0,0,89,0,10,0,3,0,0,0
0,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,24,0,92,0,314,0,0,27,0,0,0,282,0,0,0,22,6,0,16
0,0,0,0,0,475,0,0,52,0,0,0,108,8,0,0,0,17,0,5
0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,25,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,1,0,0,2,0
0,0,0,1,0,25,1,0,2,0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,15,0,0,0,0,0,3,0,0,2,0,0,0,0,0
0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,13,0,0,0,0,0,1,0,0,3,0,0,0,0,0
0,0,2,1,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,12,0,0,3,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,8,0,0,0,0,0,1,2,0,1,0,0,0,0,0
0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,1,0,0
0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,6,0,24,0,0,0,0,0,0,0,0,2,0,0,0,0,1
0,0,0,5,0,155,0,12,0,0,0,0,7,0,0,0,0,4,0,1
0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,2,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0
0,0,0,0,0,9,0,0,0,0,0,0,2,0,4,0,0,0,0,0
0,0,0,0,0,7,0,0,3,0,0,0,1,0,1,0,0,0,0,3
0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,10,0,0,2,0,0,0,6,0,2,0,0,0,0,0
4,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,25,0,0,0,0,0,0,0,0,6,0,0,0,0,2
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
