BaeAcen,BaeBae,BaeHet,BaePla,BaetBaet,CaeCae,EphlSer,EphEphor,HepEpe,HepHep,HepLeu,HepMac,HepRhi,HepStena,HepSteno,IsoIso,LeptTri
5,0,3,33,0,0,1,0,0,0,1,28,1,0,0,42,9
6,6,7,11,0,0,0,0,0,0,2,22,0,1,1,20,3
0,3,1,5,0,0,1,0,0,0,3,26,0,2,2,9,5
1,7,2,12,0,0,0,1,0,0,1,30,0,2,1,25,10
0,0,0,18,0,0,0,0,0,0,3,23,0,0,5,4,20
2,4,0,10,0,0,1,0,0,0,2,18,0,3,1,24,11
0,3,1,42,0,0,0,0,0,0,9,48,2,2,3,8,40
0,4,0,3,0,0,1,0,0,1,2,23,0,2,1,15,9
3,2,3,4,0,0,1,0,0,0,3,38,0,0,3,21,6
10,10,34,6,0,0,1,0,0,0,2,22,5,0,0,24,1
6,15,8,23,0,0,0,0,1,0,4,31,4,0,0,43,2
8,23,15,12,0,0,0,0,0,0,2,24,0,0,0,10,1
19,1,23,3,0,0,1,0,0,0,0,15,1,0,0,16,0
12,65,13,74,0,0,4,0,0,0,14,97,8,0,0,106,2
6,11,22,6,0,0,0,0,0,0,1,10,1,0,0,3,0
18,2,30,12,0,0,0,0,0,1,1,5,1,0,0,5,1
19,16,22,10,0,0,2,0,0,0,0,25,6,0,0,18,0
3,19,4,15,0,0,0,0,0,0,2,12,5,0,0,5,0
0,2,2,0,0,0,0,0,0,0,1,13,0,0,1,12,0
14,5,34,12,0,0,0,0,0,0,2,22,0,0,0,17,0
4,9,34,10,0,0,0,0,0,0,0,21,0,0,1,18,1
8,4,19,5,0,0,1,0,0,0,3,19,2,0,0,20,0
0,4,8,37,0,0,0,0,0,0,2,17,0,0,0,18,5
3,9,7,66,0,0,0,0,0,0,0,23,0,0,1,16,2
4,1,11,11,0,0,0,0,0,0,4,24,0,0,1,45,1
13,3,18,30,0,0,0,0,0,1,0,29,0,0,0,62,0
2,7,10,30,0,0,1,0,0,1,0,32,0,4,1,18,2
25,5,29,21,1,0,0,0,0,6,10,133,1,1,2,172,1
4,0,0,7,0,0,0,0,0,0,12,45,0,0,3,8,0
1,12,6,5,0,1,0,0,0,0,4,49,0,0,0,78,2
15,5,18,8,0,0,0,0,0,0,4,46,1,0,2,24,2
9,8,6,15,0,0,3,0,0,0,20,92,16,0,0,97,7
5,2,4,3,0,0,0,0,0,0,2,59,8,0,3,45,1
0,7,2,9,0,1,4,0,0,0,0,38,1,0,1,21,10
12,23,19,15,0,0,3,1,0,0,16,50,3,4,4,85,0
12,20,4,18,0,0,2,0,0,0,2,31,4,1,0,12,2
10,19,6,23,0,0,2,0,0,0,20,52,10,1,1,42,6
1,7,0,10,0,0,0,1,0,0,2,56,4,3,4,30,0
0,9,0,15,0,1,1,1,0,0,2,43,0,3,3,6,11
1,15,0,22,0,1,3,0,0,1,7,30,0,1,2,6,8
5,7,5,7,0,0,0,0,0,0,1,15,4,0,0,18,1
7,4,10,38,0,0,0,0,0,0,0,36,5,0,2,21,12
5,12,10,18,0,0,0,0,0,0,2,41,2,0,0,84,0
3,7,5,40,0,0,0,0,0,0,2,39,5,0,0,15,3
3,5,21,33,0,0,0,0,0,0,1,18,0,2,0,29,8
14,20,0,21,0,0,0,0,0,0,3,25,5,1,0,25,4
11,0,9,20,0,0,3,0,0,0,5,20,0,1,1,12,4
20,2,15,42,0,0,0,0,0,0,4,24,0,3,1,21,9
6,13,6,22,0,0,0,0,0,0,1,30,2,0,0,14,9
3,2,0,35,0,0,0,0,0,0,3,49,2,5,0,21,5
4,3,0,82,0,0,0,0,0,0,1,40,0,0,1,19,8
10,5,5,28,0,0,0,0,0,0,0,15,0,0,0,20,3
2,0,0,28,0,0,0,0,0,0,0,8,0,0,0,1,4
7,1,0,32,0,0,0,0,0,0,1,11,2,0,0,4,5
8,4,4,16,0,0,0,0,0,0,1,6,1,0,0,5,4
5,2,0,37,0,0,0,0,0,0,0,9,3,0,0,2,4
0,2,0,58,0,0,1,0,0,0,4,19,1,0,0,3,14
6,0,8,12,0,0,0,0,0,0,0,9,1,0,0,5,5
4,0,1,49,0,0,0,0,0,0,0,27,0,0,0,1,3
1,0,0,29,0,0,0,0,1,0,1,11,0,0,1,5,5
4,0,2,10,0,0,0,0,0,0,0,5,2,0,0,6,5
0,0,0,34,0,0,0,0,0,0,1,41,0,0,3,15,10
0,0,0,41,0,0,1,0,0,0,1,27,0,2,0,2,8
11,0,4,46,0,0,1,0,0,0,0,12,1,0,2,10,8
0,0,0,35,0,0,0,0,0,0,0,13,1,2,0,0,1
0,1,0,59,0,0,0,0,0,1,1,28,1,3,5,4,9
0,0,0,48,0,0,0,0,0,0,4,32,0,0,0,5,49
2,0,2,107,0,0,0,0,0,0,0,20,0,0,3,9,16
7,0,4,37,0,0,1,0,0,0,2,25,0,0,2,16,13
12,0,2,47,0,0,0,0,0,0,4,21,2,0,1,19,29
3,0,1,39,0,0,0,0,0,0,0,12,1,0,0,10,22
2,0,0,32,0,0,0,0,0,0,4,30,0,0,1,9,15
7,0,1,50,0,0,0,0,0,0,1,14,0,0,1,6,20
8,0,1,23,0,0,0,0,0,0,1,18,0,0,0,7,11
3,0,0,50,0,0,0,0,0,0,5,23,0,0,3,17,12
9,0,1,36,0,0,1,0,0,0,2,20,0,0,2,22,17
4,0,0,10,0,0,0,0,0,0,1,5,0,0,1,3,14
16,7,6,29,0,0,0,1,0,2,0,11,0,0,2,7,20
12,3,2,18,0,0,0,0,0,0,1,19,0,0,2,14,15
30,0,1,16,0,0,0,0,0,0,1,12,0,0,1,6,2
1,4,0,32,0,0,0,0,0,0,3,24,0,0,7,7,44
6,0,0,22,0,0,0,0,0,0,7,14,0,2,2,10,12
14,0,0,23,0,0,0,0,0,0,2,12,0,3,0,15,2
3,3,0,50,0,0,0,0,0,0,3,11,0,1,1,6,31
4,1,2,25,0,0,0,0,0,0,2,9,0,1,1,10,3
14,0,0,43,0,0,0,0,0,0,3,28,0,1,1,11,9
